Feature ID	Taxon	Confidence
f41eef86ba8eb6b58b5db616f2b7533e	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Malaciobacter; s__Malaciobacter_pacificus	0.8046869114862188
1b64dbfd82294e2a666c317d132a00b9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9998175389529823
06f825b512d903b9230e1a55d87359ee	d__Bacteria; p__Firmicutes; c__Bacilli	0.8780066090080054
d08bd367e06a6f1496e457e114b17d7d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__bacterium_JB3	0.9999313379077351
66e6e9e3dc645a531c1c70085997d64c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.8568757448387943
4ac711b46d68011221bfd3afb538a3dc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.8886469719298327
8b84a4ddaedff09de10789670dd8d7ec	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales	0.999859128387915
923f521b9cf313f1f95c9367e09bbc1c	d__Bacteria; p__Firmicutes; c__Clostridia	0.8317251306334861
0a857f235b897d7c44e86f0c1b75c69b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9555296209323253
959aeca1a65ce24599aaed29828c33f0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus	0.8105232444714102
a0355e5712771d1465ae9266535d6aec	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	0.702628352951611
573a1b003a4f1a5c8da6c21d22650fb2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter	0.9446951232930763
e057e8668758aaa8dda497ecdb013502	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	0.9878879097303251
acbbcde1929f218d45cf1942ea80a3bf	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.9999794800015882
1b369ebd1a9248e5e22ed0c2a5584aed	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.9999192231925694
17b8cbca2743de33484d559e0bf12cc9	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Schaalia_naturae	0.9818357753089443
8e493df449e84acb4e24f5811ff3599b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__uncultured_bacterium	0.9892361883585302
f9612c98d79c37a803a973724113cef6	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium; s__Atopobium_rimae	0.7984119045814343
65acc5a75216e30c12dd899bf8912020	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	0.9714748779962086
1a65b568a8cbab6afc60587b3a3562c3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Desemzia; s__uncultured_Firmicutes	0.9450965177548846
